,district,Seat,Constituency_Title,Candidate_Name,Part,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout
0,Chitral,Chitral,NA-1,Moulana Abdul Akbar Chitrali,Muttahida Majlis-e-Amal Pakistan,48616,158925,5430,164355,269579,60.97 %
1,Chitral,Chitral,NA-1,Saeed ur Rehman,Pakistan Rah-e-Haq Party,3223,0,0,0,0,60.97 %
2,Chitral,Chitral,NA-1,Muhammad Yahya,Independent,698,0,0,0,0,60.97 %
3,Chitral,Chitral,NA-1,Shahzada Muhammad Taimur Khisrao,Independent,2414,0,0,0,0,60.97 %
4,Chitral,Chitral,NA-1,Eid Ul Hussain,Awami National Party,3613,0,0,0,0,60.97 %
5,Chitral,Chitral,NA-1,Muhammad Amjad,All Pakistan Muslim League,6755,0,0,0,0,60.97 %
6,Chitral,Chitral,NA-1,Taqdira Ajmal,Independent,681,0,0,0,0,60.97 %
7,Chitral,Chitral,NA-1,Abdul Latif,Pakistan Tehreek-e-Insaf,38481,0,0,0,0,60.97 %
8,Chitral,Chitral,NA-1,Iftikhar Ud Din,Pakistan Muslim League (N),21016,0,0,0,0,60.97 %
9,Chitral,Chitral,NA-1,Nisar Dastageer,Independent,793,0,0,0,0,60.97 %
10,Chitral,Chitral,NA-1,Saleem Khan,Pakistan Peoples Party Parliamentarians,32635,0,0,0,0,60.97 %
11,Swat,Swat-I,NA-2,Haider Ali Khan,Pakistan Tehreek-e-Insaf,61687,157060,8721,165781,382974,43.29 %
12,Swat,Swat-I,NA-2,Muhammad Mukhtar,Pashtoonkhwa Milli Awami Party,3381,0,0,0,0,43.29 %
13,Swat,Swat-I,NA-2,Ishtiaq Ahmad,Independent,165,0,0,0,0,43.29 %
14,Swat,Swat-I,NA-2,Malak Muhammad Didar Khan,Independent,148,0,0,0,0,43.29 %
15,Swat,Swat-I,NA-2,Miraj Muhammad,Independent,453,0,0,0,0,43.29 %
16,Swat,Swat-I,NA-2,Mumtaz Ahmad,Awami National Party,14618,0,0,0,0,43.29 %
17,Swat,Swat-I,NA-2,Amir Muqam,Pakistan Muslim League (N),41125,0,0,0,0,43.29 %
18,Swat,Swat-I,NA-2,Said Qamar,Independent,1410,0,0,0,0,43.29 %
19,Swat,Swat-I,NA-2,Naveed Iqbal,Muttahida Majlis-e-Amal Pakistan,18055,0,0,0,0,43.29 %
20,Swat,Swat-I,NA-2,Amjad Ali Khan,Pakistan Peoples Party Parliamentarians,16018,0,0,0,0,43.29 %
21,Swat,Swat-II,NA-3,Saleem Rehman,Pakistan Tehreek-e-Insaf,68162,155420,6452,161872,401124,40.35 %
22,Swat,Swat-II,NA-3,Abdul Karim,Awami National Party,21895,0,0,0,0,40.35 %
23,Swat,Swat-II,NA-3,Hujjat Ullah,Independent,16747,0,0,0,0,40.35 %
24,Swat,Swat-II,NA-3,Shahryar Amirzeb,Pakistan Peoples Party Parliamentarians,22046,0,0,0,0,40.35 %
25,Swat,Swat-II,NA-3,Shakeel Ahmad,Jamiat Ulma-e-Islam Nazryati Pakistan,1368,0,0,0,0,40.35 %
26,Swat,Swat-II,NA-3,Aftab Shahid,Independent,1991,0,0,0,0,40.35 %
27,Swat,Swat-II,NA-3,Mian Muhammad Shahbaz Sharif,Pakistan Muslim League (N),22756,0,0,0,0,40.35 %
28,Swat,Swat-II,NA-3,Ali Khan,Independent,455,0,0,0,0,40.35 %
29,Swat,Swat-Ill,NA-4,Murad Saeed,Pakistan Tehreek-e-Insaf,71600,153909,6522,160431,409013,39.22 %
30,Swat,Swat-Ill,NA-4,Feroz Shah,Pakistan Muslim League (N),14494,0,0,0,0,39.22 %
31,Swat,Swat-Ill,NA-4,Tal Hayat Khan,Qaumi Watan Party,2240,0,0,0,0,39.22 %
